id,date_created,date_modified,type,sha1,download_url,local_path,plain_text,html,html_lawbox,html_columbia,html_with_citations,extracted_by_ocr,author_id,cluster_id,per_curiam,page_count,author_str,joined_by_str,xml_harvard,html_anon_2020,ordering_key,main_version_id
1717410,2013-10-30 07:13:39.78111+00,2025-06-07 04:51:43.344465+00,010combined,b2d54f5be925e013ab3586f4d9e305ba396e3887,,"","","<div><center><b>996 So.2d 861 (2008)</b></center></div>","","",false,,2147483646,false,,"","","","",,-2055328520,
1717413,2013-10-30 07:13:39.804756+00,2025-06-07 04:51:43.400827+00,010combined,f46295eb1bcecb68ba9602d5fb473c48267312c8,,"","","<div><center><b>996 So.2d 218 (2008)</b></center></div>","","",false,,2147483646,false,,"","","","",,-581760447,1717410
